popular,gender,weekend,vegan,kid,group,Ameri,Europ,SouAM,Asian,Indian,Chinese,MidEas,Drinks,utility
0.0,0.5555555555555556,0.4074074074074074,0.07407407407407407,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.38429165704606
0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.203974016481073
0.0,0.4,0.5,0.1,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1199231335901
1.0,0.5217391304347826,0.35403726708074534,0.15527950310559005,0.0,0.7701863354037267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.96725900134523
0.0,0.5393258426966292,0.47191011235955055,0.15730337078651685,0.011235955056179775,0.39325842696629215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.00931280093251
0.0,0.4230769230769231,0.5,0.11538461538461539,0.11538461538461539,0.34615384615384615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.47399000523825
0.0,0.38333333333333336,0.35,0.16666666666666666,0.016666666666666666,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.65780615889905
0.0,0.125,0.625,0.0,0.0625,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17116284231509
0.0,0.41935483870967744,0.4838709677419355,0.0967741935483871,0.03225806451612903,0.41935483870967744,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,45.912737717670225
0.0,0.5925925925925926,0.4444444444444444,0.4444444444444444,0.0,0.37037037037037035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.83849744911216
0.0,0.3969465648854962,0.5114503816793893,0.22137404580152673,0.030534351145038167,0.5190839694656488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.64825346213719
1.0,0.47572815533980584,0.4854368932038835,0.1553398058252427,0.019417475728155338,0.5533980582524272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.59008791696526
0.0,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.03571428571428571,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.25134373724917
0.0,0.4,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42085654275881
0.0,0.6122448979591837,0.54421768707483,0.04081632653061224,0.7619047619047619,0.8707482993197279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11630442064214
1.0,0.5887445887445888,0.45021645021645024,0.1038961038961039,0.04329004329004329,0.658008658008658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.117353737951746
0.0,0.3368421052631579,0.45263157894736844,0.031578947368421054,0.021052631578947368,0.5578947368421052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,45.78233433767862
0.0,0.3448275862068966,0.5862068965517241,0.06896551724137931,0.0,0.5862068965517241,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.65549952075646
0.0,0.5238095238095238,0.38095238095238093,0.14285714285714285,0.09523809523809523,0.47619047619047616,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,41.59823123124469
0.0,0.3829787234042553,0.48936170212765956,0.1702127659574468,0.0,0.574468085106383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.05827993647423
0.0,0.2727272727272727,0.5454545454545454,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.302966088330784
1.0,0.4623217922606925,0.4786150712830957,0.06109979633401222,0.02240325865580448,0.4378818737270876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.07615383641745
0.0,0.6,0.4,0.05714285714285714,0.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.75689735733823
0.0,0.5,0.9166666666666666,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.57229527285267
0.0,0.5476190476190477,0.5,0.047619047619047616,0.023809523809523808,0.4523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.691925462667044
0.0,0.46236559139784944,0.45161290322580644,0.17204301075268819,0.0,0.5376344086021505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.718308032243655
0.0,0.32653061224489793,0.46938775510204084,0.08163265306122448,0.08163265306122448,0.6122448979591837,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,44.90892982918846
0.0,0.4090909090909091,0.5,0.18181818181818182,0.045454545454545456,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.155111865709706
0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.658553823091594
0.0,0.3,0.5,0.2,0.1,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.94037370331883
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91538129995437
1.0,0.45977011494252873,0.42528735632183906,0.12643678160919541,0.0,0.632183908045977,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52.405666283556705
0.0,0.32608695652173914,0.41304347826086957,0.1956521739130435,0.0,0.21739130434782608,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.80009959805113
0.0,0.16666666666666666,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41.65236877304278
0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.085847657028026
0.0,0.09090909090909091,0.36363636363636365,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.045143909332445
0.0,0.2,0.2,0.0,0.2,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.552559985312236
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.91538129995437
0.0,0.425,0.4625,0.325,0.025,0.5125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.25551718630602
0.0,0.47572815533980584,0.46601941747572817,0.10679611650485436,0.019417475728155338,0.47572815533980584,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.19900164263433
0.0,0.3695652173913043,0.4782608695652174,0.043478260869565216,0.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.27933454251062
1.0,0.5104166666666666,0.4895833333333333,0.13541666666666666,0.010416666666666666,0.625,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,53.73615861563307
0.0,0.5833333333333334,0.3333333333333333,0.0,0.0,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.17233025025248
0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.377672784364044
1.0,0.46,0.34,0.28,0.04,0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.45858063561023
0.0,0.32142857142857145,0.42857142857142855,0.0,0.0,0.10714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25046065640716
0.0,0.75,0.375,0.0,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.20378316839673
0.0,0.31666666666666665,0.35,0.15,0.03333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.59963077550014
0.0,0.4,0.4,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73461102049514
0.0,0.43478260869565216,0.5434782608695652,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50.01021756207719
1.0,0.417910447761194,0.3880597014925373,0.05970149253731343,0.04477611940298507,0.3880597014925373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.163768336311726
0.0,0.5,0.375,0.25,0.125,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.50144108037318
0.0,0.3125,0.625,0.0,0.125,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8954322962175
0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.21845152043137
0.0,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.17211260809974
0.0,0.45161290322580644,0.41935483870967744,0.12903225806451613,0.03225806451612903,0.3870967741935484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8189466787221
0.0,0.3287671232876712,0.4931506849315068,0.0547945205479452,0.0136986301369863,0.6164383561643836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.31854533203542
0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.308658780988786
0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.76558469791168
0.0,0.43859649122807015,0.5614035087719298,0.10526315789473684,0.0,0.2982456140350877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.16906709018327
0.0,0.4,0.6,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.142799103030505
1.0,0.5035460992907801,0.475177304964539,0.07801418439716312,0.0,0.7092198581560284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.88347291811878
0.0,0.34615384615384615,0.4230769230769231,0.057692307692307696,0.019230769230769232,0.4423076923076923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.68762607428546
0.0,0.6363636363636364,0.45454545454545453,0.0,0.0,0.5454545454545454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.70525110894219
0.0,0.5,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.436289617440806
0.0,0.4,0.5,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.260264489534386
0.0,0.41818181818181815,0.36363636363636365,0.18181818181818182,0.01818181818181818,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.39085690514956
0.0,0.5,0.3076923076923077,0.15384615384615385,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8344809455634
0.0,0.29473684210526313,0.43157894736842106,0.15789473684210525,0.010526315789473684,0.3157894736842105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.69388106474388
0.0,0.45161290322580644,0.4838709677419355,0.06451612903225806,0.0,0.41935483870967744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.96096584852927
0.0,0.5076923076923077,0.5384615384615384,0.07692307692307693,0.0,0.5538461538461539,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.40702728293814
1.0,0.4605263157894737,0.45394736842105265,0.07894736842105263,0.039473684210526314,0.40131578947368424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.46262259997811
0.0,0.45,0.35,0.05,0.05,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.57770235427962
0.0,0.424,0.384,0.024,0.0,0.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.21810219536927
1.0,0.44594594594594594,0.4594594594594595,0.08108108108108109,0.013513513513513514,0.33783783783783783,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.38121834675756
0.0,0.4642857142857143,0.35714285714285715,0.07142857142857142,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.91006434616559
1.0,0.4117647058823529,0.46405228758169936,0.2875816993464052,0.032679738562091505,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,53.38791573693582
0.0,0.47368421052631576,0.42105263157894735,0.05263157894736842,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.13500828361448
0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.548924154258536
0.0,0.5555555555555556,0.5,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.43457317679396
0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.662879687613167
0.0,0.6206896551724138,0.4827586206896552,0.2413793103448276,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.99599996216032
0.0,0.4,0.2,0.6,0.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.12549016533293
0.0,0.631578947368421,0.47368421052631576,0.21052631578947367,0.05263157894736842,0.3157894736842105,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.82154181448612
0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36545911603183
0.0,0.25,0.75,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.200537744129058
0.0,0.5,0.375,0.125,0.0,0.125,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.35827509498448
0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.89340218710736
0.0,0.8,0.6,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.683076737806495
0.0,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.171835639460696
